id: GO:0000726	name: non-recombinational repair
id: GO:0001514	name: selenocysteine incorporation
id: GO:0002938	name: tRNA guanine ribose methylation
id: GO:0003941	name: L-serine ammonia-lyase activity
id: GO:0003952	name: NAD+ synthase (glutamine-hydrolyzing) activity
id: GO:0003963	name: RNA-3'-phosphate cyclase activity
id: GO:0004029	name: aldehyde dehydrogenase (NAD+) activity
id: GO:0004125	name: L-seryl-tRNASec selenium transferase activity
id: GO:0004145	name: diamine N-acetyltransferase activity
id: GO:0004151	name: dihydroorotase activity
id: GO:0004342	name: glucosamine-6-phosphate deaminase activity
id: GO:0004427	name: inorganic diphosphatase activity
id: GO:0004568	name: chitinase activity
id: GO:0004730	name: pseudouridylate synthase activity
id: GO:0004766	name: spermidine synthase activity
id: GO:0004802	name: transketolase activity
id: GO:0004833	"name: tryptophan 2,3-dioxygenase activity"
id: GO:0005262	name: calcium channel activity
id: GO:0005372	name: water transmembrane transporter activity
id: GO:0005469	name: succinate:fumarate antiporter activity
id: GO:0005534	name: galactose binding
id: GO:0005615	name: extracellular space
id: GO:0006030	name: chitin metabolic process
id: GO:0006032	name: chitin catabolic process
id: GO:0006451	name: translational readthrough
id: GO:0006482	name: protein demethylation
id: GO:0006569	name: tryptophan catabolic process
id: GO:0006577	name: amino-acid betaine metabolic process
id: GO:0006578	name: amino-acid betaine biosynthetic process
id: GO:0006579	name: amino-acid betaine catabolic process
id: GO:0006598	name: polyamine catabolic process
id: GO:0006805	name: xenobiotic metabolic process
id: GO:0006816	name: calcium ion transport
id: GO:0006833	name: water transport
id: GO:0006846	name: acetate transport
id: GO:0006874	name: cellular calcium ion homeostasis
id: GO:0007010	name: cytoskeleton organization
id: GO:0007015	name: actin filament organization
id: GO:0008022	name: protein C-terminus binding
id: GO:0008061	name: chitin binding
id: GO:0008154	name: actin polymerization or depolymerization
id: GO:0008214	name: protein dealkylation
id: GO:0008273	"name: calcium, potassium:sodium antiporter activity"
id: GO:0008446	"name: GDP-mannose 4,6-dehydratase activity"
id: GO:0008452	name: RNA ligase activity
id: GO:0008460	"name: dTDP-glucose 4,6-dehydratase activity"
id: GO:0008551	name: P-type cadmium transporter activity
