"","G","Gene","MC","WTC","MD","WTD","Fisher.p","phi","OR1","OR2"
"1","GO",3,23,22,0,0,1,NA,"NaN",NA
"2","GO",14,23,22,0,0,1,NA,"NaN",NA
"3","GO",15,23,22,0,0,1,NA,"NaN",NA
"4","GO",18,23,22,0,0,1,NA,"NaN",NA
"5","GO",27,23,22,0,0,1,NA,"NaN",NA
"6","GO",28,23,22,0,0,1,NA,"NaN",NA
"7","GO",34,0,0,23,22,1,NA,"NaN",NA
"8","GO",35,23,21,0,1,0.489,-0.154,"0.000",Inf
"9","GO",36,23,21,0,1,0.489,-0.154,"0.000",Inf
"10","GO",41,23,22,0,0,1,NA,"NaN",NA
"11","GO",49,23,22,0,0,1,NA,"NaN",NA
"12","GO",50,23,22,0,0,1,NA,"NaN",NA
"13","GO",53,23,22,0,0,1,NA,"NaN",NA
"14","GO",60,0,0,23,22,1,NA,"NaN",NA
"15","GO",64,23,22,0,0,1,NA,"NaN",NA
"16","GO",96,23,22,0,0,1,NA,"NaN",NA
"17","GO",97,23,22,0,0,1,NA,"NaN",NA
"18","GO",98,21,22,2,0,0.489,0.211,"Inf",0
"19","GO",99,23,22,0,0,1,NA,"NaN",NA
"20","GO",101,23,22,0,0,1,NA,"NaN",NA
"21","GO",102,23,22,0,0,1,NA,"NaN",NA
"22","GO",103,23,22,0,0,1,NA,"NaN",NA
"23","GO",104,23,22,0,0,1,NA,"NaN",NA
"24","GO",105,23,22,0,0,1,NA,"NaN",NA
"25","GO",107,23,22,0,0,1,NA,"NaN",NA
"26","GO",131,0,0,23,22,1,NA,"NaN",NA
"27","GO",139,1,1,22,21,1,0.005,"1.050",0.955
"28","GO",148,0,0,23,22,1,NA,"NaN",NA
"29","GO",150,23,22,0,0,1,NA,"NaN",NA
"30","GO",151,0,0,23,22,1,NA,"NaN",NA
"31","GO",154,23,22,0,0,1,NA,"NaN",NA
"32","GO",155,23,22,0,0,1,NA,"NaN",NA
"33","GO",156,23,22,0,0,1,NA,"NaN",NA
"34","GO",160,23,22,0,0,1,NA,"NaN",NA
"35","GO",162,23,22,0,0,1,NA,"NaN",NA
"36","GO",166,23,22,0,0,1,NA,"NaN",NA
"37","GO",175,23,22,0,0,1,NA,"NaN",NA
"38","GO",179,23,22,0,0,1,NA,"NaN",NA
"39","GO",217,23,22,0,0,1,NA,"NaN",NA
"40","GO",228,23,22,0,0,1,NA,"NaN",NA
"41","GO",229,23,22,0,0,1,NA,"NaN",NA
"42","GO",255,0,0,23,22,1,NA,"NaN",NA
"43","GO",256,0,0,23,22,1,NA,"NaN",NA
"44","GO",270,23,22,0,0,1,NA,"NaN",NA
"45","GO",271,23,22,0,0,1,NA,"NaN",NA
"46","GO",272,0,0,23,22,1,NA,"NaN",NA
"47","GO",276,1,0,22,22,1,-0.147,"0.000",Inf
"48","GO",278,23,22,0,0,1,NA,"NaN",NA
"49","GO",281,23,22,0,0,1,NA,"NaN",NA
"50","GO",287,23,22,0,0,1,NA,"NaN",NA
"51","GO",302,23,22,0,0,1,NA,"NaN",NA
"52","GO",303,23,22,0,0,1,NA,"NaN",NA
"53","GO",305,23,22,0,0,1,NA,"NaN",NA
"54","GO",309,23,22,0,0,1,NA,"NaN",NA
"55","GO",310,0,0,23,22,1,NA,"NaN",NA
"56","GO",313,0,0,23,22,1,NA,"NaN",NA
"57","GO",315,0,0,23,22,1,NA,"NaN",NA
"58","GO",372,22,21,1,1,1,-0.005,"0.955",1.05
"59","GO",375,22,21,1,1,1,-0.005,"0.955",1.05
