GO_term term CLIN1_Pr NOCLIN_Pr CLIN1_Abs NOCLIN_Abs
GO 3 23 97 0 0
GO 14 23 97 0 0
GO 15 23 97 0 0
GO 18 23 97 0 0
GO 27 23 97 0 0
GO 28 23 97 0 0
GO 34 0 1 23 96
GO 35 23 96 0 1
GO 36 23 96 0 1
GO 41 23 97 0 0
GO 49 23 97 0 0
GO 50 23 97 0 0
GO 53 23 95 0 2
GO 60 0 1 23 96
GO 64 23 34 0 63
GO 96 23 97 0 0
GO 97 23 97 0 0
GO 98 21 97 2 0
GO 99 23 97 0 0
GO 101 23 97 0 0
GO 102 23 91 0 6
GO 103 23 97 0 0
GO 104 23 97 0 0
GO 105 23 97 0 0
GO 107 23 97 0 0
GO 131 0 2 23 95
GO 139 1 0 22 97
GO 148 0 1 23 96
GO 150 23 97 0 0
GO 151 0 2 23 95
GO 154 23 97 0 0
GO 155 23 97 0 0
GO 156 23 97 0 0
GO 160 23 97 0 0
GO 162 23 97 0 0
GO 166 23 97 0 0
GO 175 23 97 0 0
GO 179 23 97 0 0
GO 217 23 97 0 0
GO 228 23 96 0 1
GO 229 23 96 0 1
GO 255 0 3 23 94
GO 256 0 3 23 94
GO 270 23 97 0 0
GO 271 23 97 0 0
GO 272 0 30 23 67
GO 276 1 1 22 96
GO 278 23 97 0 0
GO 281 23 97 0 0
GO 287 23 97 0 0
GO 302 23 97 0 0
GO 303 23 97 0 0
GO 305 23 97 0 0
GO 309 23 97 0 0
GO 310 0 5 23 92
GO 313 0 1 23 96
GO 315 0 1 23 96
GO 372 22 94 1 3
GO 375 22 94 1 3
GO 376 22 94 1 3
GO 400 23 97 0 0
GO 405 0 2 23 95
GO 408 23 97 0 0
GO 413 23 97 0 0
GO 428 23 96 0 1
GO 451 23 97 0 0
GO 453 23 97 0 0
GO 455 23 97 0 0
GO 462 23 97 0 0
GO 469 23 96 0 1
GO 470 22 93 1 4
GO 478 23 96 0 1
GO 502 23 97 0 0
GO 702 23 97 0 0
GO 703 23 97 0 0
GO 715 23 97 0 0
GO 716 23 97 0 0
GO 724 23 97 0 0
GO 725 23 97 0 0
GO 726 22 35 1 62
GO 731 23 97 0 0
GO 738 23 97 0 0
GO 746 0 7 23 90
GO 774 23 95 0 2
GO 785 23 96 0 1
GO 786 23 96 0 1
GO 787 23 96 0 1
GO 789 23 96 0 1
GO 793 0 0 23 97
GO 796 0 0 23 97
GO 819 23 97 0 0
GO 820 23 97 0 0
GO 821 23 97 0 0
GO 822 0 1 23 96
GO 900 23 97 0 0
GO 902 0 2 23 95
GO 904 0 1 23 96
GO 906 23 97 0 0
GO 910 23 97 0 0
GO 917 23 97 0 0
GO 918 23 97 0 0
GO 920 23 97 0 0
GO 935 0 1 23 96
GO 966 23 97 0 0
GO 967 23 97 0 0
GO 976 23 97 0 0
GO 984 23 97 0 0
GO 985 23 96 0 1
GO 986 23 97 0 0
GO 987 23 97 0 0
GO 988 23 97 0 0
GO 989 23 97 0 0
GO 990 23 97 0 0
GO 1000 23 97 0 0
GO 1017 23 97 0 0
GO 1046 23 96 0 1
GO 1047 23 96 0 1
GO 1067 23 97 0 0
GO 1072 23 92 0 5
GO 1073 23 97 0 0
GO 1098 23 97 0 0
GO 1101 23 97 0 0
GO 1108 23 97 0 0
GO 1121 23 97 0 0
GO 1123 23 96 0 1
GO 1124 22 89 1 8
GO 1125 23 97 0 0
GO 1130 23 97 0 0
GO 1131 23 97 0 0
GO 1140 23 97 0 0
GO 1141 23 97 0 0
GO 1150 22 56 1 41
GO 1151 22 55 1 42
GO 1158 22 56 1 41
GO 1199 22 59 1 38
GO 1204 22 59 1 38
GO 1216 23 97 0 0
GO 1217 23 97 0 0
GO 1505 23 97 0 0
GO 1510 23 97 0 0
GO 1514 22 29 1 68
GO 1522 23 97 0 0
GO 1530 23 97 0 0
GO 1539 23 97 0 0
GO 1541 0 1 23 96
GO 1546 0 1 23 96
GO 1558 23 97 0 0
GO 1562 0 1 23 96
GO 1573 0 1 23 96
GO 1655 0 1 23 96
GO 1666 3 1 20 96
GO 1680 22 97 1 0
GO 1682 23 96 0 1
GO 1716 23 97 0 0
GO 1727 0 31 23 66
GO 1731 23 97 0 0
GO 1750 1 0 22 97
GO 1775 0 1 23 96
GO 1817 0 1 23 96
GO 1818 0 1 23 96
GO 1819 0 1 23 96
GO 1871 0 1 23 96
GO 1880 0 1 23 96
GO 1882 23 97 0 0
GO 1883 23 97 0 0
GO 1884 23 97 0 0
GO 1887 23 97 0 0
GO 1896 23 97 0 0
GO 1897 23 96 0 1
GO 1906 23 97 0 0
GO 1907 23 97 0 0
GO 1917 1 0 22 97
GO 1932 23 97 0 0
GO 1934 23 97 0 0
GO 1968 0 9 23 88
GO 2020 23 96 0 1
GO 2054 0 6 23 91
GO 2057 0 6 23 91
GO 2060 0 6 23 91
GO 2064 0 1 23 96
GO 2094 23 97 0 0
GO 2097 23 97 0 0
GO 2098 23 97 0 0
GO 2099 23 97 0 0
GO 2100 23 97 0 0
GO 2101 23 97 0 0
GO 2128 23 97 0 0
GO 2130 23 96 0 1
GO 2131 23 96 0 1
GO 2132 23 96 0 1
GO 2134 23 97 0 0
GO 2136 23 97 0 0
GO 2143 23 97 0 0
GO 2161 23 97 0 0
GO 2181 23 97 0 0
GO 2183 23 97 0 0
GO 2184 23 97 0 0
GO 2188 23 96 0 1
GO 2190 23 96 0 1
GO 2192 23 96 0 1
GO 2196 23 97 0 0
GO 2225 0 1 23 96
GO 2237 0 1 23 96
GO 2250 0 1 23 96
GO 2252 23 96 0 1
GO 2263 0 1 23 96
GO 2266 0 1 23 96
GO 2268 0 1 23 96
GO 2285 0 1 23 96
GO 2286 0 1 23 96
GO 2287 0 1 23 96
GO 2292 0 1 23 96
GO 2293 0 1 23 96
GO 2294 0 1 23 96
GO 2312 0 1 23 96
GO 2313 0 1 23 96
GO 2315 0 1 23 96
GO 2335 0 1 23 96
GO 2366 0 1 23 96
GO 2376 23 96 0 1
GO 2443 0 1 23 96
GO 2449 0 1 23 96
GO 2455 0 1 23 96
GO 2460 0 1 23 96
GO 2467 0 1 23 96
GO 2520 0 1 23 96
GO 2521 0 1 23 96
GO 2682 0 1 23 96
GO 2684 0 1 23 96
GO 2697 0 1 23 96
GO 2699 0 1 23 96
GO 2700 0 1 23 96
GO 2702 0 1 23 96
GO 2759 0 1 23 96
GO 2760 0 1 23 96
GO 2784 0 1 23 96
GO 2788 0 1 23 96
GO 2790 23 97 0 0
GO 2804 0 1 23 96
GO 2805 0 1 23 96
GO 2807 0 1 23 96
GO 2810 0 1 23 96
GO 2831 0 1 23 96
GO 2833 0 1 23 96
GO 2920 0 1 23 96
GO 2922 0 1 23 96
GO 2935 23 96 0 1
GO 2937 23 95 0 2
GO 2938 22 65 1 32
GO 2939 22 96 1 1
GO 2943 23 97 0 0
GO 2949 23 97 0 0
GO 2953 23 83 0 14
GO 3006 0 3 23 94
GO 3333 23 97 0 0
GO 3382 0 1 23 96
GO 3674 23 97 0 0
GO 3676 23 97 0 0
GO 3677 23 97 0 0
GO 3678 23 97 0 0
GO 3681 23 95 0 2
GO 3684 23 97 0 0
GO 3688 23 97 0 0
GO 3690 23 97 0 0
GO 3697 23 97 0 0
GO 3700 23 97 0 0
GO 3723 23 97 0 0
GO 3724 23 97 0 0
GO 3725 23 97 0 0
GO 3727 23 97 0 0
GO 3729 23 97 0 0
GO 3730 23 97 0 0
GO 3735 23 97 0 0
GO 3743 23 97 0 0
GO 3746 23 97 0 0
GO 3747 23 97 0 0
GO 3755 23 97 0 0
GO 3756 23 97 0 0
GO 3796 4 31 19 66
GO 3824 23 97 0 0
GO 3841 22 97 1 0
GO 3844 22 77 1 20
GO 3848 23 96 0 1
GO 3849 23 97 0 0
GO 3850 23 96 0 1
GO 3852 23 97 0 0
GO 3855 23 96 0 1
GO 3856 23 97 0 0
GO 3857 23 97 0 0
GO 3861 23 96 0 1
GO 3862 23 94 0 3
GO 3864 23 97 0 0
GO 3866 23 97 0 0
GO 3867 23 53 0 44
GO 3871 23 74 0 23
GO 3879 23 97 0 0
GO 3882 23 96 0 1
GO 3883 23 97 0 0
GO 3886 0 10 23 87
GO 3887 23 97 0 0
GO 3899 23 97 0 0
GO 3904 23 84 0 13
GO 3906 23 97 0 0
GO 3909 23 97 0 0
GO 3910 22 92 1 5
GO 3911 23 96 0 1
GO 3913 23 84 0 13
GO 3916 23 97 0 0
GO 3917 23 96 0 1
GO 3918 23 97 0 0
GO 3919 23 97 0 0
GO 3920 0 7 23 90
GO 3921 23 97 0 0
GO 3922 23 97 0 0
GO 3924 23 97 0 0
GO 3933 23 97 0 0
GO 3934 23 97 0 0
GO 3935 23 96 0 1
GO 3938 22 97 1 0
GO 3941 6 52 17 45
GO 3942 23 95 0 2
GO 3949 23 97 0 0
GO 3951 23 96 0 1
GO 3952 1 35 22 62
GO 3954 23 97 0 0
GO 3955 0 2 23 95
GO 3962 23 97 0 0
GO 3963 13 1 10 96
GO 3964 0 1 23 96
GO 3977 23 97 0 0
GO 3978 1 21 22 76
GO 3979 0 0 23 97
GO 3984 23 96 0 1
GO 3985 23 97 0 0
GO 3987 23 97 0 0
GO 3988 23 97 0 0
GO 3989 23 56 0 41
GO 3991 23 96 0 1
GO 3992 23 97 0 0
GO 3994 23 97 0 0
GO 3995 23 97 0 0
GO 3996 0 1 23 96
GO 3998 23 63 0 34
GO 3999 23 97 0 0
GO 4000 23 73 0 24
GO 4003 23 97 0 0
GO 4004 23 97 0 0
GO 4008 1 0 22 97
GO 4013 0 1 23 96
GO 4015 23 97 0 0
GO 4016 23 94 0 3
GO 4017 22 96 1 1
GO 4019 23 94 0 3
GO 4020 23 65 0 32
GO 4021 23 95 0 2
GO 4022 23 97 0 0
GO 4029 21 63 2 34
GO 4033 23 93 0 4
GO 4034 23 89 0 8
GO 4035 0 1 23 96
GO 4037 0 4 23 93
GO 4038 0 4 23 93
GO 4042 23 96 0 1
GO 4044 23 97 0 0
GO 4045 23 97 0 0
GO 4047 23 97 0 0
GO 4048 23 94 0 3
GO 4049 23 97 0 0
GO 4055 23 95 0 2
GO 4056 23 94 0 3
GO 4057 23 96 0 1
GO 4066 23 96 0 1
GO 4067 23 95 0 2
GO 4068 23 95 0 2
GO 4069 23 97 0 0
GO 4070 22 97 1 0
GO 4071 23 96 0 1
GO 4072 23 97 0 0
GO 4073 23 97 0 0
GO 4075 0 24 23 73
GO 4076 23 97 0 0
GO 4077 23 97 0 0
GO 4084 0 41 23 56
GO 4087 23 97 0 0
GO 4088 23 97 0 0
GO 4089 23 97 0 0
GO 4096 22 74 1 23
GO 4099 1 26 22 71
GO 4106 23 97 0 0
GO 4107 23 97 0 0
GO 4108 23 97 0 0
GO 4109 23 97 0 0
GO 4112 23 97 0 0
GO 4114 23 97 0 0
GO 4115 23 97 0 0
GO 4121 21 97 2 0
GO 4122 0 1 23 96
GO 4123 23 97 0 0
GO 4124 23 97 0 0
GO 4125 23 34 0 63
GO 4126 23 96 0 1
GO 4127 23 97 0 0
GO 4129 1 2 22 95
GO 4130 0 1 23 96
GO 4131 0 18 23 79
GO 4139 23 97 0 0
GO 4140 23 96 0 1
GO 4141 23 97 0 0
GO 4143 0 1 23 96
GO 4145 21 3 2 94
GO 4146 23 96 0 1
GO 4148 23 97 0 0
GO 4149 23 97 0 0
GO 4150 23 97 0 0
GO 4151 1 93 22 4
GO 4152 23 97 0 0
GO 4155 23 72 0 25
GO 4156 23 96 0 1
GO 4158 23 97 0 0
GO 4161 23 96 0 1
GO 4165 23 97 0 0
GO 4170 23 96 0 1
GO 4175 23 97 0 0
GO 4176 23 97 0 0
GO 4177 23 97 0 0
GO 4180 23 97 0 0
GO 4185 23 97 0 0
GO 4197 0 1 23 96
GO 4222 23 97 0 0
GO 4252 23 97 0 0
GO 4298 23 96 0 1
GO 4300 23 97 0 0
GO 4308 0 1 23 96
GO 4309 23 97 0 0
GO 4311 23 97 0 0
GO 4312 23 97 0 0
GO 4314 23 97 0 0
GO 4315 23 97 0 0
GO 4316 23 97 0 0
GO 4318 22 96 1 1
GO 4321 0 1 23 96
GO 4322 23 97 0 0
GO 4324 23 97 0 0
GO 4325 23 97 0 0
GO 4326 23 97 0 0
GO 4329 23 63 0 34
GO 4333 23 97 0 0
GO 4335 1 47 22 50
GO 4337 23 96 0 1
GO 4342 21 3 2 94
GO 4345 23 97 0 0
GO 4346 23 96 0 1
GO 4349 23 97 0 0
GO 4350 23 97 0 0
GO 4351 0 9 23 88
GO 4353 0 8 23 89
GO 4354 0 8 23 89
GO 4355 23 96 0 1
GO 4356 23 97 0 0
GO 4357 23 97 0 0
GO 4358 23 95 0 2
GO 4359 23 94 0 3
