GO_term	term	CLIN2_Pr	NOCLIN_Pr	CLIN2_Abs	NOCLIN_Abs
GO	3	22	97	0	0
GO	14	22	97	0	0
GO	15	22	97	0	0
GO	18	22	97	0	0
GO	27	22	97	0	0
GO	28	22	97	0	0
GO	34	0	1	22	96
GO	35	21	96	1	1
GO	36	21	96	1	1
GO	41	22	97	0	0
GO	49	22	97	0	0
GO	50	22	97	0	0
GO	53	22	95	0	2
GO	60	0	1	22	96
GO	64	22	34	0	63
GO	96	22	97	0	0
GO	97	22	97	0	0
GO	98	22	97	0	0
GO	99	22	97	0	0
GO	101	22	97	0	0
GO	102	22	91	0	6
GO	103	22	97	0	0
GO	104	22	97	0	0
GO	105	22	97	0	0
GO	107	22	97	0	0
GO	131	0	2	22	95
GO	139	1	0	21	97
GO	148	0	1	22	96
GO	150	22	97	0	0
GO	151	0	2	22	95
GO	154	22	97	0	0
GO	155	22	97	0	0
GO	156	22	97	0	0
GO	160	22	97	0	0
GO	162	22	97	0	0
GO	166	22	97	0	0
GO	175	22	97	0	0
GO	179	22	97	0	0
GO	217	22	97	0	0
GO	228	22	96	0	1
GO	229	22	96	0	1
GO	255	0	3	22	94
GO	256	0	3	22	94
GO	270	22	97	0	0
GO	271	22	97	0	0
GO	272	0	30	22	67
GO	276	0	1	22	96
GO	278	22	97	0	0
GO	281	22	97	0	0
GO	287	22	97	0	0
GO	302	22	97	0	0
GO	303	22	97	0	0
GO	305	22	97	0	0
GO	309	22	97	0	0
GO	310	0	5	22	92
GO	313	0	1	22	96
GO	315	0	1	22	96
GO	372	21	94	1	3
GO	375	21	94	1	3
GO	376	21	94	1	3
GO	400	22	97	0	0
GO	405	0	2	22	95
GO	408	22	97	0	0
GO	413	22	97	0	0
GO	428	22	96	0	1
GO	451	22	97	0	0
GO	453	22	97	0	0
GO	455	22	97	0	0
GO	462	22	97	0	0
GO	469	22	96	0	1
GO	470	22	93	0	4
GO	478	22	96	0	1
GO	502	22	97	0	0
GO	702	22	97	0	0
GO	703	22	97	0	0
GO	715	22	97	0	0
GO	716	22	97	0	0
GO	724	22	97	0	0
GO	725	22	97	0	0
GO	726	0	35	22	62
GO	731	22	97	0	0
GO	738	22	97	0	0
GO	746	0	7	22	90
GO	774	22	95	0	2
GO	785	22	96	0	1
GO	786	22	96	0	1
GO	787	22	96	0	1
GO	789	22	96	0	1
GO	793	1	0	21	97
GO	796	1	0	21	97
GO	819	22	97	0	0
GO	820	22	97	0	0
GO	821	22	97	0	0
GO	822	0	1	22	96
GO	900	22	97	0	0
GO	902	1	2	21	95
GO	904	0	1	22	96
GO	906	22	97	0	0
GO	910	22	97	0	0
GO	917	22	97	0	0
GO	918	22	97	0	0
GO	920	22	97	0	0
GO	935	0	1	22	96
GO	966	22	97	0	0
GO	967	22	97	0	0
GO	976	22	97	0	0
GO	984	22	97	0	0
GO	985	22	96	0	1
GO	986	22	97	0	0
GO	987	22	97	0	0
GO	988	22	97	0	0
GO	989	22	97	0	0
GO	990	22	97	0	0
GO	1000	22	97	0	0
GO	1017	22	97	0	0
GO	1046	22	96	0	1
GO	1047	22	96	0	1
GO	1067	22	97	0	0
GO	1072	22	92	0	5
GO	1073	22	97	0	0
GO	1098	22	97	0	0
GO	1101	22	97	0	0
GO	1108	22	97	0	0
GO	1121	22	97	0	0
GO	1123	22	96	0	1
GO	1124	22	89	0	8
GO	1125	22	97	0	0
GO	1130	22	97	0	0
GO	1131	22	97	0	0
GO	1140	22	97	0	0
GO	1141	22	97	0	0
GO	1150	20	56	2	41
GO	1151	20	55	2	42
GO	1158	20	56	2	41
GO	1199	22	59	0	38
GO	1204	22	59	0	38
GO	1216	22	97	0	0
GO	1217	22	97	0	0
GO	1505	22	97	0	0
GO	1510	22	97	0	0
GO	1514	13	29	9	68
GO	1522	22	97	0	0
GO	1530	22	97	0	0
GO	1539	22	97	0	0
GO	1541	0	1	22	96
GO	1546	0	1	22	96
GO	1558	22	97	0	0
GO	1562	0	1	22	96
GO	1573	0	1	22	96
GO	1655	0	1	22	96
GO	1666	0	1	22	96
GO	1680	21	97	1	0
GO	1682	21	96	1	1
GO	1716	22	97	0	0
GO	1727	0	31	22	66
GO	1731	22	97	0	0
GO	1750	0	0	22	97
GO	1775	0	1	22	96
GO	1817	0	1	22	96
GO	1818	0	1	22	96
GO	1819	0	1	22	96
GO	1871	0	1	22	96
GO	1880	0	1	22	96
GO	1882	22	97	0	0
GO	1883	22	97	0	0
GO	1884	22	97	0	0
GO	1887	22	97	0	0
GO	1896	22	97	0	0
GO	1897	22	96	0	1
GO	1906	22	97	0	0
GO	1907	22	97	0	0
GO	1917	0	0	22	97
GO	1932	22	97	0	0
GO	1934	22	97	0	0
GO	1968	0	9	22	88
GO	2020	22	96	0	1
GO	2054	0	6	22	91
GO	2057	0	6	22	91
GO	2060	0	6	22	91
GO	2064	0	1	22	96
GO	2094	22	97	0	0
GO	2097	22	97	0	0
GO	2098	22	97	0	0
GO	2099	22	97	0	0
GO	2100	21	97	1	0
GO	2101	22	97	0	0
GO	2128	22	97	0	0
GO	2130	22	96	0	1
GO	2131	22	96	0	1
GO	2132	22	96	0	1
GO	2134	22	97	0	0
GO	2136	22	97	0	0
GO	2143	22	97	0	0
GO	2161	22	97	0	0
GO	2181	22	97	0	0
GO	2183	22	97	0	0
GO	2184	21	97	1	0
GO	2188	22	96	0	1
GO	2190	22	96	0	1
GO	2192	22	96	0	1
GO	2196	22	97	0	0
GO	2225	0	1	22	96
GO	2237	0	1	22	96
GO	2250	0	1	22	96
GO	2252	22	96	0	1
GO	2263	0	1	22	96
GO	2266	0	1	22	96
GO	2268	0	1	22	96
GO	2285	0	1	22	96
GO	2286	0	1	22	96
GO	2287	0	1	22	96
GO	2292	0	1	22	96
GO	2293	0	1	22	96
GO	2294	0	1	22	96
GO	2312	0	1	22	96
GO	2313	0	1	22	96
GO	2315	0	1	22	96
GO	2335	0	1	22	96
GO	2366	0	1	22	96
GO	2376	22	96	0	1
GO	2443	0	1	22	96
GO	2449	0	1	22	96
GO	2455	0	1	22	96
GO	2460	0	1	22	96
GO	2467	0	1	22	96
GO	2520	0	1	22	96
GO	2521	0	1	22	96
GO	2682	0	1	22	96
GO	2684	0	1	22	96
GO	2697	0	1	22	96
GO	2699	0	1	22	96
GO	2700	0	1	22	96
GO	2702	0	1	22	96
GO	2759	0	1	22	96
GO	2760	0	1	22	96
GO	2784	0	1	22	96
GO	2788	0	1	22	96
GO	2790	22	97	0	0
GO	2804	0	1	22	96
GO	2805	0	1	22	96
GO	2807	0	1	22	96
GO	2810	0	1	22	96
GO	2831	0	1	22	96
GO	2833	0	1	22	96
GO	2920	0	1	22	96
GO	2922	0	1	22	96
GO	2935	22	96	0	1
GO	2937	22	95	0	2
GO	2938	0	65	22	32
GO	2939	22	96	0	1
GO	2943	22	97	0	0
GO	2949	22	97	0	0
GO	2953	22	83	0	14
GO	3006	0	3	22	94
GO	3333	22	97	0	0
GO	3382	0	1	22	96
GO	3674	22	97	0	0
GO	3676	22	97	0	0
GO	3677	22	97	0	0
GO	3678	22	97	0	0
GO	3681	22	95	0	2
GO	3684	22	97	0	0
GO	3688	22	97	0	0
GO	3690	22	97	0	0
GO	3697	22	97	0	0
GO	3700	22	97	0	0
GO	3723	22	97	0	0
GO	3724	22	97	0	0
GO	3725	22	97	0	0
