GO_t term CLIN_Pr NOCLIN_Pr CLIN_Abs NOCLIN_Abs
GO 3 45 97 0 0
GO 14 45 97 0 0
GO 15 45 97 0 0
GO 18 45 97 0 0
GO 27 45 97 0 0
GO 28 45 97 0 0
GO 34 0 1 45 96
GO 35 44 96 1 1
GO 36 44 96 1 1
GO 41 45 97 0 0
GO 49 45 97 0 0
GO 50 45 97 0 0
GO 53 45 95 0 2
GO 60 0 1 45 96
GO 64 45 34 0 63
GO 96 45 97 0 0
GO 97 45 97 0 0
GO 98 43 97 2 0
GO 99 45 97 0 0
GO 101 45 97 0 0
GO 102 45 91 0 6
GO 103 45 97 0 0
GO 104 45 97 0 0
GO 105 45 97 0 0
GO 107 45 97 0 0
GO 131 0 2 45 95
GO 139 2 0 43 97
GO 148 0 1 45 96
GO 150 45 97 0 0
GO 151 0 2 45 95
GO 154 45 97 0 0
GO 155 45 97 0 0
GO 156 45 97 0 0
GO 160 45 97 0 0
GO 162 45 97 0 0
GO 166 45 97 0 0
GO 175 45 97 0 0
GO 179 45 97 0 0
GO 217 45 97 0 0
GO 228 45 96 0 1
GO 229 45 96 0 1
GO 255 0 3 45 94
GO 256 0 3 45 94
GO 270 45 97 0 0
GO 271 45 97 0 0
GO 272 0 30 45 67
GO 276 1 1 44 96
GO 278 45 97 0 0
GO 281 45 97 0 0
GO 287 45 97 0 0
GO 302 45 97 0 0
GO 303 45 97 0 0
GO 305 45 97 0 0
GO 309 45 97 0 0
GO 310 0 5 45 92
GO 313 0 1 45 96
GO 315 0 1 45 96
GO 372 43 94 2 3
GO 375 43 94 2 3
GO 376 43 94 2 3
GO 400 45 97 0 0
GO 405 0 2 45 95
GO 408 45 97 0 0
GO 413 45 97 0 0
GO 428 45 96 0 1
GO 451 45 97 0 0
GO 453 45 97 0 0
GO 455 45 97 0 0
GO 462 45 97 0 0
GO 469 45 96 0 1
GO 470 44 93 1 4
GO 478 45 96 0 1
GO 502 45 97 0 0
GO 702 45 97 0 0
GO 703 45 97 0 0
GO 715 45 97 0 0
GO 716 45 97 0 0
GO 724 45 97 0 0
GO 725 45 97 0 0
GO 726 22 35 23 62
GO 731 45 97 0 0
GO 738 45 97 0 0
GO 746 0 7 45 90
GO 774 45 95 0 2
GO 785 45 96 0 1
GO 786 45 96 0 1
GO 787 45 96 0 1
GO 789 45 96 0 1
GO 793 1 0 44 97
GO 796 1 0 44 97
GO 819 45 97 0 0
GO 820 45 97 0 0
GO 821 45 97 0 0
GO 822 0 1 45 96
GO 900 45 97 0 0
GO 902 1 2 44 95
GO 904 0 1 45 96
GO 906 45 97 0 0
GO 910 45 97 0 0
GO 917 45 97 0 0
GO 918 45 97 0 0
GO 920 45 97 0 0
GO 935 0 1 45 96
GO 966 45 97 0 0
GO 967 45 97 0 0
GO 976 45 97 0 0
GO 984 45 97 0 0
GO 985 45 96 0 1
GO 986 45 97 0 0
GO 987 45 97 0 0
GO 988 45 97 0 0
GO 989 45 97 0 0
GO 990 45 97 0 0
GO 1000 45 97 0 0
GO 1017 45 97 0 0
GO 1046 45 96 0 1
GO 1047 45 96 0 1
GO 1067 45 97 0 0
GO 1072 45 92 0 5
GO 1073 45 97 0 0
GO 1098 45 97 0 0
GO 1101 45 97 0 0
GO 1108 45 97 0 0
GO 1121 45 97 0 0
GO 1123 45 96 0 1
GO 1124 44 89 1 8
GO 1125 45 97 0 0
GO 1130 45 97 0 0
GO 1131 45 97 0 0
GO 1140 45 97 0 0
GO 1141 45 97 0 0
GO 1150 42 56 3 41
GO 1151 42 55 3 42
GO 1158 42 56 3 41
GO 1199 44 59 1 38
GO 1204 44 59 1 38
GO 1216 45 97 0 0
GO 1217 45 97 0 0
GO 1505 45 97 0 0
GO 1510 45 97 0 0
GO 1514 35 29 10 68
GO 1522 45 97 0 0
GO 1530 45 97 0 0
GO 1539 45 97 0 0
GO 1541 0 1 45 96
GO 1546 0 1 45 96
GO 1558 45 97 0 0
GO 1562 0 1 45 96
GO 1573 0 1 45 96
GO 1655 0 1 45 96
GO 1666 3 1 42 96
GO 1680 43 97 2 0
GO 1682 44 96 1 1
GO 1716 45 97 0 0
GO 1727 0 31 45 66
GO 1731 45 97 0 0
GO 1750 1 0 44 97
GO 1775 0 1 45 96
GO 1817 0 1 45 96
GO 1818 0 1 45 96
GO 1819 0 1 45 96
GO 1871 0 1 45 96
GO 1880 0 1 45 96
GO 1882 45 97 0 0
GO 1883 45 97 0 0
GO 1884 45 97 0 0
GO 1887 45 97 0 0
GO 1896 45 97 0 0
GO 1897 45 96 0 1
GO 1906 45 97 0 0
GO 1907 45 97 0 0
GO 1917 1 0 44 97
GO 1932 45 97 0 0
GO 1934 45 97 0 0
GO 1968 0 9 45 88
GO 2020 45 96 0 1
GO 2054 0 6 45 91
GO 2057 0 6 45 91
GO 2060 0 6 45 91
GO 2064 0 1 45 96
GO 2094 45 97 0 0
GO 2097 45 97 0 0
GO 2098 45 97 0 0
GO 2099 45 97 0 0
GO 2100 44 97 1 0
GO 2101 45 97 0 0
GO 2128 45 97 0 0
GO 2130 45 96 0 1
GO 2131 45 96 0 1
GO 2132 45 96 0 1
GO 2134 45 97 0 0
GO 2136 45 97 0 0
GO 2143 45 97 0 0
GO 2161 45 97 0 0
GO 2181 45 97 0 0
GO 2183 45 97 0 0
GO 2184 44 97 1 0
GO 2188 45 96 0 1
GO 2190 45 96 0 1
GO 2192 45 96 0 1
GO 2196 45 97 0 0
GO 2225 0 1 45 96
GO 2237 0 1 45 96
GO 2250 0 1 45 96
GO 2252 45 96 0 1
GO 2263 0 1 45 96
GO 2266 0 1 45 96
GO 2268 0 1 45 96
GO 2285 0 1 45 96
GO 2286 0 1 45 96
GO 2287 0 1 45 96
GO 2292 0 1 45 96
GO 2293 0 1 45 96
GO 2294 0 1 45 96
GO 2312 0 1 45 96
GO 2313 0 1 45 96
GO 2315 0 1 45 96
GO 2335 0 1 45 96
GO 2366 0 1 45 96
GO 2376 45 96 0 1
GO 2443 0 1 45 96
GO 2449 0 1 45 96
GO 2455 0 1 45 96
GO 2460 0 1 45 96
GO 2467 0 1 45 96
GO 2520 0 1 45 96
GO 2521 0 1 45 96
GO 2682 0 1 45 96
GO 2684 0 1 45 96
GO 2697 0 1 45 96
GO 2699 0 1 45 96
GO 2700 0 1 45 96
GO 2702 0 1 45 96
GO 2759 0 1 45 96
GO 2760 0 1 45 96
GO 2784 0 1 45 96
GO 2788 0 1 45 96
GO 2790 45 97 0 0
GO 2804 0 1 45 96
GO 2805 0 1 45 96
GO 2807 0 1 45 96
GO 2810 0 1 45 96
GO 2831 0 1 45 96
GO 2833 0 1 45 96
GO 2920 0 1 45 96
GO 2922 0 1 45 96
GO 2935 45 96 0 1
GO 2937 45 95 0 2
GO 2938 22 65 23 32
GO 2939 44 96 1 1
GO 2943 45 97 0 0
GO 2949 45 97 0 0
GO 2953 45 83 0 14
GO 3006 0 3 45 94
GO 3333 45 97 0 0
GO 3382 0 1 45 96
GO 3674 45 97 0 0
GO 3676 45 97 0 0
GO 3677 45 97 0 0
GO 3678 45 97 0 0
GO 3681 45 95 0 2
GO 3684 45 97 0 0
GO 3688 45 97 0 0
GO 3690 45 97 0 0
